관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
15247, ,오시리아 관광단지 해안도로 2지점, , ,교차로,기장군,기장군 기장읍 연화리 428-2,35.2083221,129.2231151,2023-07-25
15248, ,오시리아 관광단지 해안도로 3지점, , ,교차로,기장군,기장군 기장읍 시랑리 산10-5,35.20459325,129.2246186,2023-07-25
15249, ,오시리아 관광단지 해안도로 4지점, , ,교차로,기장군,기장군 기장읍 시랑리 산13-2,35.19989404,129.2240318,2023-07-25
15250, ,오시리아 관광단지 해안도로 5지점, , ,교차로,기장군,기장군 기장읍 시랑리 378-7,35.19304414,129.2186254,2023-07-25
15251, ,기장동원로얄CC, , ,교차로,기장군,기장군 기장읍 반송로 1345,35.25253881,129.1892212,2023-07-25
16001, ,솔밭장터, , ,단일로,기장군,기장군 기장읍 기장대로 25,35.19960312,129.2063367,2023-07-25
16002,기장대로,삼양사입구, , ,단일로,기장군,기장군 기장읍 내리 797,35.20192295,129.2069091,2023-07-25
16003,기장대로,내리주유소, , ,교차로,기장군,기장군 기장읍 기장대로 85,35.20477105,129.2060288,2023-07-25
16004,기장대로,내리마을, , ,교차로,기장군,기장군 기장읍 석산리 113-5,35.20655972,129.207439,2023-07-25
16005,기장대로,승마훈련소, , ,교차로,기장군,기장군 기장읍 청강리 767-8,35.2176644,129.2110635,2023-07-25
16006,기장대로,황토방입구, , ,교차로,기장군,기장군 기장읍 청강리 425-2,35.22197447,129.2127094,2023-07-25
16007,기장대로,무곡마을, , ,단일로,기장군,기장군 기장읍 청강리 385-1,35.22717,129.2150387,2023-07-25
16008,기장대로,기장주공아파트, , ,교차로,기장군,기장군 기장읍 청강리 327-8,35.2342361,129.216891,2023-07-25
16009,기장대로,청강사거리, , ,교차로,기장군,기장군 기장읍 청강리 279-3,35.23587573,129.2178713,2023-07-25
16010, ,은성밧데리, , ,단일로,기장군,기장군 기장읍 기장대로 475,35.23777792,129.2187347,2023-07-25
16011, ,기장벽산아파트, , ,단일로,기장군,기장군 기장읍 기장대로 500,35.23966145,129.2205537,2023-07-25
16012,기장대로,죽성사거리, , ,교차로,기장군,기장군 기장읍 기장대로 516,35.24107571,129.2206409,2023-07-25
16013,기장대로,기장현대아파트, , ,교차로,기장군,기장군 기장읍 청강리 17-12,35.24363597,129.2206024,2023-07-25
16014,기장대로,기장군청, , ,교차로,기장군,기장군 기장읍 청강리 3-7,35.24535454,129.2209029,2023-07-25
16015,기장대로,교리삼거리, , ,교차로,기장군,기장군 기장읍 동부리 14-1,35.25132834,129.2211244,2023-07-25
16016,반송로,동부지하차도 주변, , ,단일로,기장군,기장군 기장읍 반송로 1635,35.25123515,129.2169585,2023-07-25
16017,반송로,구 기장군청, , ,교차로,기장군,기장군 기장읍 반송로 1623,35.25087991,129.2155357,2023-07-25
16018,반송로,한신아파트, , ,교차로,기장군,기장군 기장읍 반송로 1601,35.24934404,129.2140953,2023-07-25
16019,반송로,기장그랜드호텔, , ,교차로,기장군,기장군 기장읍 반송로 1539,35.2499605,129.2092477,2023-07-25
16020,반송로,만화리입구, , ,교차로,기장군,기장군 기장읍 만화리 279,35.25290562,129.20316,2023-07-25
16021,반송로,만화리동서부락, , ,교차로,기장군,기장군 기장읍 만화리 333-5,35.25405799,129.1951224,2023-07-25
